[2026-07-15T18:22:59] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_8 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145185 | GPU None
[2026-07-15T18:23:02] Started None | no_training_ma_009_yearly_low_mag_noise100_lt3 | run_9 | freq=52 | noise=1 | magnitude=50 | lead_time=3 | PID 1145204 | GPU None
[2026-07-15T18:23:05] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_0 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145293 | GPU None
[2026-07-15T18:23:08] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_1 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145377 | GPU None
[2026-07-15T18:23:12] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_2 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145456 | GPU None
[2026-07-15T18:23:15] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_3 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145571 | GPU None
[2026-07-15T18:23:18] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_4 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145623 | GPU None
[2026-07-15T18:23:21] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_5 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145632 | GPU None
[2026-07-15T18:23:25] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_6 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145659 | GPU None
[2026-07-15T18:23:28] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_7 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145771 | GPU None
[2026-07-15T18:23:31] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_8 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145972 | GPU None
[2026-07-15T18:23:34] Started None | no_training_ma_010_yearly_medium_mag_noise0_lt1 | run_9 | freq=52 | noise=1 | magnitude=100 | lead_time=1 | PID 1145987 | GPU None
[2026-07-15T18:23:38] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_0 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1145996 | GPU None
[2026-07-15T18:23:41] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_1 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146017 | GPU None
[2026-07-15T18:23:44] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_2 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146035 | GPU None
[2026-07-15T18:23:47] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_3 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146045 | GPU None
[2026-07-15T18:23:51] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_4 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146071 | GPU None
[2026-07-15T18:23:54] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_5 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146122 | GPU None
[2026-07-15T18:23:57] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_6 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146145 | GPU None
[2026-07-15T18:24:00] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_7 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146176 | GPU None
[2026-07-15T18:24:04] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_8 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146185 | GPU None
[2026-07-15T18:24:07] Started None | no_training_ma_011_yearly_medium_mag_noise0_lt2 | run_9 | freq=52 | noise=1 | magnitude=100 | lead_time=2 | PID 1146204 | GPU None
[2026-07-15T18:24:10] Started None | no_training_ma_012_yearly_medium_mag_noise0_lt3 | run_0 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 1146218 | GPU None
[2026-07-15T18:24:13] Started None | no_training_ma_012_yearly_medium_mag_noise0_lt3 | run_1 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 1146227 | GPU None
[2026-07-15T18:24:17] Started None | no_training_ma_012_yearly_medium_mag_noise0_lt3 | run_2 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 1146261 | GPU None
[2026-07-15T18:24:20] Started None | no_training_ma_012_yearly_medium_mag_noise0_lt3 | run_3 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 1146339 | GPU None
[2026-07-15T18:24:23] Finished None | no_training_ma_012_yearly_medium_mag_noise0_lt3 | run_1 | freq=52 | noise=1 | magnitude=100 | lead_time=3
[2026-07-15T18:24:24] Started None | no_training_ma_012_yearly_medium_mag_noise0_lt3 | run_4 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 1146444 | GPU None
[2026-07-15T18:24:27] Started None | no_training_ma_012_yearly_medium_mag_noise0_lt3 | run_5 | freq=52 | noise=1 | magnitude=100 | lead_time=3 | PID 1146534 | GPU None
